Angle,Reflectance
65.000,0.915534
65.001,0.915489
65.002,0.915443
65.003,0.915397
65.004,0.915351
65.005,0.915306
65.006,0.915260
65.007,0.915214
65.008,0.915168
65.009,0.915122
65.010,0.915076
65.011,0.915030
65.012,0.914984
65.013,0.914938
65.014,0.914891
65.015,0.914845
65.016,0.914799
65.017,0.914753
65.018,0.914706
65.019,0.914660
65.020,0.914614
65.021,0.914567
65.022,0.914521
65.023,0.914474
65.024,0.914427
65.025,0.914381
65.026,0.914334
65.027,0.914288
65.028,0.914241
65.029,0.914194
65.030,0.914147
65.031,0.914100
65.032,0.914053
65.033,0.914006
65.034,0.913959
65.035,0.913912
65.036,0.913865
65.037,0.913818
65.038,0.913771
65.039,0.913724
65.040,0.913677
65.041,0.913629
65.042,0.913582
65.043,0.913535
65.044,0.913487
65.045,0.913440
65.046,0.913392
65.047,0.913345
65.048,0.913297
65.049,0.913250
65.050,0.913202
65.051,0.913154
65.052,0.913107
65.053,0.913059
65.054,0.913011
65.055,0.912963
65.056,0.912915
65.057,0.912867
65.058,0.912820
65.059,0.912772
65.060,0.912723
65.061,0.912675
65.062,0.912627
65.063,0.912579
65.064,0.912531
65.065,0.912483
65.066,0.912434
65.067,0.912386
65.068,0.912337
65.069,0.912289
65.070,0.912241
65.071,0.912192
65.072,0.912143
65.073,0.912095
65.074,0.912046
65.075,0.911998
65.076,0.911949
65.077,0.911900
65.078,0.911851
65.079,0.911802
65.080,0.911753
65.081,0.911705
65.082,0.911656
65.083,0.911606
65.084,0.911557
65.085,0.911508
65.086,0.911459
65.087,0.911410
65.088,0.911361
65.089,0.911311
65.090,0.911262
65.091,0.911213
65.092,0.911163
65.093,0.911114
65.094,0.911064
65.095,0.911015
65.096,0.910965
65.097,0.910916
65.098,0.910866
65.099,0.910816
65.100,0.910766
65.101,0.910717
65.102,0.910667
65.103,0.910617
65.104,0.910567
65.105,0.910517
65.106,0.910467
65.107,0.910417
65.108,0.910367
65.109,0.910316
65.110,0.910266
65.111,0.910216
65.112,0.910166
65.113,0.910115
65.114,0.910065
65.115,0.910015
65.116,0.909964
65.117,0.909914
65.118,0.909863
65.119,0.909812
65.120,0.909762
65.121,0.909711
65.122,0.909660
65.123,0.909610
65.124,0.909559
65.125,0.909508
65.126,0.909457
65.127,0.909406
65.128,0.909355
65.129,0.909304
65.130,0.909253
65.131,0.909202
65.132,0.909150
65.133,0.909099
65.134,0.909048
65.135,0.908997
65.136,0.908945
65.137,0.908894
65.138,0.908842
65.139,0.908791
65.140,0.908739
65.141,0.908688
65.142,0.908636
65.143,0.908584
65.144,0.908533
65.145,0.908481
65.146,0.908429
65.147,0.908377
65.148,0.908325
65.149,0.908273
65.150,0.908221
65.151,0.908169
65.152,0.908117
65.153,0.908065
65.154,0.908013
65.155,0.907960
65.156,0.907908
65.157,0.907856
65.158,0.907803
65.159,0.907751
65.160,0.907699
65.161,0.907646
65.162,0.907593
65.163,0.907541
65.164,0.907488
65.165,0.907435
65.166,0.907383
65.167,0.907330
65.168,0.907277
65.169,0.907224
65.170,0.907171
65.171,0.907118
65.172,0.907065
65.173,0.907012
65.174,0.906959
65.175,0.906906
65.176,0.906853
65.177,0.906799
65.178,0.906746
65.179,0.906693
65.180,0.906639
65.181,0.906586
65.182,0.906532
65.183,0.906479
65.184,0.906425
65.185,0.906371
65.186,0.906318
65.187,0.906264
65.188,0.906210
65.189,0.906156
65.190,0.906102
65.191,0.906048
65.192,0.905994
65.193,0.905940
65.194,0.905886
65.195,0.905832
65.196,0.905778
65.197,0.905724
65.198,0.905669
65.199,0.905615
65.200,0.905561
65.201,0.905506
65.202,0.905452
65.203,0.905397
65.204,0.905343
65.205,0.905288
65.206,0.905233
65.207,0.905179
65.208,0.905124
65.209,0.905069
65.210,0.905014
65.211,0.904959
65.212,0.904904
65.213,0.904849
65.214,0.904794
65.215,0.904739
65.216,0.904684
65.217,0.904629
65.218,0.904573
65.219,0.904518
65.220,0.904463
65.221,0.904407
65.222,0.904352
65.223,0.904296
65.224,0.904241
65.225,0.904185
65.226,0.904129
65.227,0.904074
65.228,0.904018
65.229,0.903962
65.230,0.903906
65.231,0.903850
65.232,0.903794
65.233,0.903738
65.234,0.903682
65.235,0.903626
65.236,0.903570
65.237,0.903514
65.238,0.903457
65.239,0.903401
65.240,0.903345
65.241,0.903288
65.242,0.903232
65.243,0.903175
65.244,0.903119
65.245,0.903062
65.246,0.903005
65.247,0.902949
65.248,0.902892
65.249,0.902835
65.250,0.902778
65.251,0.902721
65.252,0.902664
65.253,0.902607
65.254,0.902550
65.255,0.902493
65.256,0.902436
65.257,0.902378
65.258,0.902321
65.259,0.902264
65.260,0.902206
65.261,0.902149
65.262,0.902091
65.263,0.902034
65.264,0.901976
65.265,0.901919
65.266,0.901861
65.267,0.901803
65.268,0.901745
