Angle,Reflectance
65.000,0.857298
65.001,0.857349
65.002,0.857401
65.003,0.857452
65.004,0.857504
65.005,0.857556
65.006,0.857607
65.007,0.857659
65.008,0.857711
65.009,0.857762
65.010,0.857814
65.011,0.857866
65.012,0.857917
65.013,0.857969
65.014,0.858021
65.015,0.858072
65.016,0.858124
65.017,0.858176
65.018,0.858228
65.019,0.858279
65.020,0.858331
65.021,0.858383
65.022,0.858435
65.023,0.858487
65.024,0.858539
65.025,0.858590
65.026,0.858642
65.027,0.858694
65.028,0.858746
65.029,0.858798
65.030,0.858850
65.031,0.858902
65.032,0.858954
65.033,0.859006
65.034,0.859058
65.035,0.859110
65.036,0.859161
65.037,0.859213
65.038,0.859265
65.039,0.859317
65.040,0.859370
65.041,0.859422
65.042,0.859474
65.043,0.859526
65.044,0.859578
65.045,0.859630
65.046,0.859682
65.047,0.859734
65.048,0.859786
65.049,0.859838
65.050,0.859890
65.051,0.859943
65.052,0.859995
65.053,0.860047
65.054,0.860099
65.055,0.860151
65.056,0.860203
65.057,0.860256
65.058,0.860308
65.059,0.860360
65.060,0.860412
65.061,0.860465
65.062,0.860517
65.063,0.860569
65.064,0.860622
65.065,0.860674
65.066,0.860726
65.067,0.860779
65.068,0.860831
65.069,0.860883
65.070,0.860936
65.071,0.860988
65.072,0.861041
65.073,0.861093
65.074,0.861145
65.075,0.861198
65.076,0.861250
65.077,0.861303
65.078,0.861355
65.079,0.861408
65.080,0.861460
65.081,0.861513
65.082,0.861565
65.083,0.861618
65.084,0.861670
65.085,0.861723
65.086,0.861776
65.087,0.861828
65.088,0.861881
65.089,0.861933
65.090,0.861986
65.091,0.862039
65.092,0.862091
65.093,0.862144
65.094,0.862197
65.095,0.862249
65.096,0.862302
65.097,0.862355
65.098,0.862408
65.099,0.862460
65.100,0.862513
65.101,0.862566
65.102,0.862619
65.103,0.862672
65.104,0.862724
65.105,0.862777
65.106,0.862830
65.107,0.862883
65.108,0.862936
65.109,0.862989
65.110,0.863042
65.111,0.863094
65.112,0.863147
65.113,0.863200
65.114,0.863253
65.115,0.863306
65.116,0.863359
65.117,0.863412
65.118,0.863465
65.119,0.863518
