Angle,Reflectance
55.000,0.048208
55.001,0.048222
55.002,0.048236
55.003,0.048250
55.004,0.048265
55.005,0.048279
55.006,0.048293
55.007,0.048307
55.008,0.048321
55.009,0.048335
55.010,0.048349
55.011,0.048364
55.012,0.048378
55.013,0.048392
55.014,0.048406
55.015,0.048420
55.016,0.048434
55.017,0.048449
55.018,0.048463
55.019,0.048477
55.020,0.048491
55.021,0.048505
55.022,0.048520
55.023,0.048534
55.024,0.048548
55.025,0.048562
55.026,0.048576
55.027,0.048590
55.028,0.048605
55.029,0.048619
55.030,0.048633
55.031,0.048647
55.032,0.048661
55.033,0.048676
55.034,0.048690
55.035,0.048704
55.036,0.048718
55.037,0.048733
55.038,0.048747
55.039,0.048761
55.040,0.048775
55.041,0.048790
55.042,0.048804
55.043,0.048818
55.044,0.048832
55.045,0.048846
55.046,0.048861
55.047,0.048875
55.048,0.048889
55.049,0.048903
55.050,0.048918
55.051,0.048932
55.052,0.048946
55.053,0.048961
55.054,0.048975
55.055,0.048989
55.056,0.049003
55.057,0.049018
55.058,0.049032
55.059,0.049046
55.060,0.049060
55.061,0.049075
55.062,0.049089
55.063,0.049103
55.064,0.049118
55.065,0.049132
55.066,0.049146
55.067,0.049161
55.068,0.049175
55.069,0.049189
55.070,0.049203
55.071,0.049218
55.072,0.049232
55.073,0.049246
55.074,0.049261
55.075,0.049275
55.076,0.049289
55.077,0.049304
55.078,0.049318
55.079,0.049332
55.080,0.049347
55.081,0.049361
55.082,0.049375
55.083,0.049390
55.084,0.049404
55.085,0.049419
55.086,0.049433
55.087,0.049447
55.088,0.049462
55.089,0.049476
55.090,0.049490
55.091,0.049505
55.092,0.049519
55.093,0.049533
55.094,0.049548
55.095,0.049562
55.096,0.049577
55.097,0.049591
55.098,0.049605
55.099,0.049620
55.100,0.049634
55.101,0.049649
55.102,0.049663
55.103,0.049677
55.104,0.049692
55.105,0.049706
55.106,0.049721
55.107,0.049735
55.108,0.049749
55.109,0.049764
55.110,0.049778
55.111,0.049793
55.112,0.049807
55.113,0.049822
55.114,0.049836
55.115,0.049850
55.116,0.049865
55.117,0.049879
55.118,0.049894
55.119,0.049908
55.120,0.049923
55.121,0.049937
55.122,0.049951
55.123,0.049966
55.124,0.049980
55.125,0.049995
55.126,0.050009
55.127,0.050024
55.128,0.050038
55.129,0.050053
55.130,0.050067
55.131,0.050082
55.132,0.050096
55.133,0.050111
55.134,0.050125
55.135,0.050140
55.136,0.050154
55.137,0.050169
55.138,0.050183
55.139,0.050198
55.140,0.050212
55.141,0.050227
55.142,0.050241
55.143,0.050256
55.144,0.050270
55.145,0.050285
55.146,0.050299
55.147,0.050314
55.148,0.050328
55.149,0.050343
55.150,0.050357
55.151,0.050372
55.152,0.050386
55.153,0.050401
55.154,0.050415
55.155,0.050430
55.156,0.050445
55.157,0.050459
55.158,0.050474
55.159,0.050488
55.160,0.050503
55.161,0.050517
55.162,0.050532
55.163,0.050546
55.164,0.050561
55.165,0.050576
55.166,0.050590
55.167,0.050605
55.168,0.050619
55.169,0.050634
55.170,0.050648
55.171,0.050663
55.172,0.050678
55.173,0.050692
55.174,0.050707
55.175,0.050721
55.176,0.050736
55.177,0.050751
55.178,0.050765
55.179,0.050780
55.180,0.050794
55.181,0.050809
55.182,0.050824
55.183,0.050838
55.184,0.050853
55.185,0.050868
55.186,0.050882
55.187,0.050897
55.188,0.050911
55.189,0.050926
55.190,0.050941
55.191,0.050955
55.192,0.050970
55.193,0.050985
55.194,0.050999
55.195,0.051014
55.196,0.051029
55.197,0.051043
55.198,0.051058
55.199,0.051073
55.200,0.051087
55.201,0.051102
55.202,0.051117
55.203,0.051131
55.204,0.051146
55.205,0.051161
55.206,0.051175
55.207,0.051190
55.208,0.051205
55.209,0.051219
55.210,0.051234
55.211,0.051249
55.212,0.051263
55.213,0.051278
55.214,0.051293
55.215,0.051308
55.216,0.051322
55.217,0.051337
55.218,0.051352
55.219,0.051366
55.220,0.051381
55.221,0.051396
55.222,0.051411
55.223,0.051425
55.224,0.051440
55.225,0.051455
55.226,0.051470
55.227,0.051484
55.228,0.051499
55.229,0.051514
55.230,0.051528
55.231,0.051543
55.232,0.051558
55.233,0.051573
55.234,0.051588
55.235,0.051602
55.236,0.051617
55.237,0.051632
55.238,0.051647
55.239,0.051661
55.240,0.051676
55.241,0.051691
55.242,0.051706
55.243,0.051720
55.244,0.051735
55.245,0.051750
55.246,0.051765
55.247,0.051780
55.248,0.051794
55.249,0.051809
55.250,0.051824
55.251,0.051839
55.252,0.051854
55.253,0.051868
55.254,0.051883
55.255,0.051898
55.256,0.051913
55.257,0.051928
55.258,0.051943
55.259,0.051957
55.260,0.051972
55.261,0.051987
55.262,0.052002
55.263,0.052017
55.264,0.052032
55.265,0.052046
55.266,0.052061
55.267,0.052076
55.268,0.052091
55.269,0.052106
55.270,0.052121
55.271,0.052136
55.272,0.052150
55.273,0.052165
55.274,0.052180
55.275,0.052195
55.276,0.052210
55.277,0.052225
55.278,0.052240
55.279,0.052254
55.280,0.052269
55.281,0.052284
55.282,0.052299
55.283,0.052314
55.284,0.052329
55.285,0.052344
55.286,0.052359
55.287,0.052374
55.288,0.052389
55.289,0.052403
55.290,0.052418
55.291,0.052433
55.292,0.052448
55.293,0.052463
55.294,0.052478
55.295,0.052493
55.296,0.052508
55.297,0.052523
55.298,0.052538
55.299,0.052553
55.300,0.052568
55.301,0.052583
55.302,0.052598
55.303,0.052612
55.304,0.052627
55.305,0.052642
55.306,0.052657
55.307,0.052672
55.308,0.052687
55.309,0.052702
55.310,0.052717
55.311,0.052732
55.312,0.052747
55.313,0.052762
55.314,0.052777
55.315,0.052792
55.316,0.052807
55.317,0.052822
55.318,0.052837
55.319,0.052852
55.320,0.052867
55.321,0.052882
55.322,0.052897
55.323,0.052912
55.324,0.052927
55.325,0.052942
55.326,0.052957
55.327,0.052972
55.328,0.052987
55.329,0.053002
55.330,0.053017
55.331,0.053032
55.332,0.053047
55.333,0.053062
55.334,0.053077
55.335,0.053092
55.336,0.053107
55.337,0.053122
55.338,0.053137
55.339,0.053152
55.340,0.053167
55.341,0.053183
55.342,0.053198
55.343,0.053213
55.344,0.053228
55.345,0.053243
55.346,0.053258
55.347,0.053273
55.348,0.053288
55.349,0.053303
55.350,0.053318
55.351,0.053333
55.352,0.053348
55.353,0.053363
55.354,0.053378
55.355,0.053394
55.356,0.053409
55.357,0.053424
55.358,0.053439
55.359,0.053454
55.360,0.053469
55.361,0.053484
55.362,0.053499
55.363,0.053514
55.364,0.053530
55.365,0.053545
55.366,0.053560
55.367,0.053575
55.368,0.053590
55.369,0.053605
55.370,0.053620
55.371,0.053635
55.372,0.053651
55.373,0.053666
55.374,0.053681
55.375,0.053696
55.376,0.053711
55.377,0.053726
55.378,0.053741
55.379,0.053757
55.380,0.053772
55.381,0.053787
55.382,0.053802
55.383,0.053817
55.384,0.053832
55.385,0.053848
55.386,0.053863
55.387,0.053878
55.388,0.053893
55.389,0.053908
55.390,0.053924
55.391,0.053939
55.392,0.053954
55.393,0.053969
55.394,0.053984
55.395,0.054000
55.396,0.054015
55.397,0.054030
55.398,0.054045
55.399,0.054060
55.400,0.054076
55.401,0.054091
55.402,0.054106
55.403,0.054121
55.404,0.054136
55.405,0.054152
55.406,0.054167
55.407,0.054182
55.408,0.054197
55.409,0.054213
55.410,0.054228
55.411,0.054243
55.412,0.054258
55.413,0.054274
55.414,0.054289
55.415,0.054304
55.416,0.054319
55.417,0.054335
55.418,0.054350
55.419,0.054365
55.420,0.054380
55.421,0.054396
55.422,0.054411
55.423,0.054426
55.424,0.054442
55.425,0.054457
55.426,0.054472
55.427,0.054487
55.428,0.054503
55.429,0.054518
55.430,0.054533
55.431,0.054549
55.432,0.054564
55.433,0.054579
55.434,0.054595
55.435,0.054610
55.436,0.054625
55.437,0.054641
55.438,0.054656
55.439,0.054671
55.440,0.054687
55.441,0.054702
55.442,0.054717
55.443,0.054733
55.444,0.054748
55.445,0.054763
55.446,0.054779
55.447,0.054794
55.448,0.054809
55.449,0.054825
55.450,0.054840
55.451,0.054855
55.452,0.054871
55.453,0.054886
55.454,0.054901
55.455,0.054917
55.456,0.054932
55.457,0.054948
55.458,0.054963
55.459,0.054978
55.460,0.054994
55.461,0.055009
55.462,0.055024
55.463,0.055040
55.464,0.055055
55.465,0.055071
55.466,0.055086
55.467,0.055101
55.468,0.055117
55.469,0.055132
55.470,0.055148
55.471,0.055163
55.472,0.055178
55.473,0.055194
55.474,0.055209
55.475,0.055225
55.476,0.055240
55.477,0.055256
55.478,0.055271
55.479,0.055286
55.480,0.055302
55.481,0.055317
55.482,0.055333
55.483,0.055348
55.484,0.055364
55.485,0.055379
55.486,0.055395
55.487,0.055410
55.488,0.055426
55.489,0.055441
55.490,0.055456
55.491,0.055472
55.492,0.055487
55.493,0.055503
55.494,0.055518
55.495,0.055534
55.496,0.055549
55.497,0.055565
55.498,0.055580
55.499,0.055596
55.500,0.055611
55.501,0.055627
55.502,0.055642
55.503,0.055658
55.504,0.055673
55.505,0.055689
55.506,0.055704
55.507,0.055720
55.508,0.055735
55.509,0.055751
55.510,0.055766
55.511,0.055782
55.512,0.055797
55.513,0.055813
55.514,0.055829
55.515,0.055844
55.516,0.055860
55.517,0.055875
55.518,0.055891
55.519,0.055906
55.520,0.055922
55.521,0.055937
55.522,0.055953
55.523,0.055968
55.524,0.055984
55.525,0.056000
55.526,0.056015
55.527,0.056031
55.528,0.056046
55.529,0.056062
55.530,0.056077
55.531,0.056093
55.532,0.056109
55.533,0.056124
55.534,0.056140
55.535,0.056155
55.536,0.056171
55.537,0.056187
55.538,0.056202
55.539,0.056218
55.540,0.056233
55.541,0.056249
55.542,0.056265
55.543,0.056280
55.544,0.056296
55.545,0.056311
55.546,0.056327
55.547,0.056343
55.548,0.056358
55.549,0.056374
55.550,0.056390
55.551,0.056405
55.552,0.056421
55.553,0.056437
55.554,0.056452
55.555,0.056468
55.556,0.056484
55.557,0.056499
55.558,0.056515
55.559,0.056530
55.560,0.056546
55.561,0.056562
55.562,0.056577
55.563,0.056593
55.564,0.056609
55.565,0.056625
55.566,0.056640
55.567,0.056656
55.568,0.056672
55.569,0.056687
55.570,0.056703
55.571,0.056719
55.572,0.056734
55.573,0.056750
55.574,0.056766
55.575,0.056781
55.576,0.056797
55.577,0.056813
55.578,0.056829
55.579,0.056844
55.580,0.056860
55.581,0.056876
55.582,0.056891
55.583,0.056907
55.584,0.056923
55.585,0.056939
