Angle,Reflectance
55.000,0.368664
55.001,0.368689
55.002,0.368714
55.003,0.368739
55.004,0.368764
55.005,0.368789
55.006,0.368814
55.007,0.368838
55.008,0.368863
55.009,0.368888
55.010,0.368913
55.011,0.368938
55.012,0.368963
55.013,0.368988
55.014,0.369013
55.015,0.369037
55.016,0.369062
55.017,0.369087
55.018,0.369112
55.019,0.369137
55.020,0.369162
55.021,0.369187
55.022,0.369212
55.023,0.369237
55.024,0.369261
55.025,0.369286
55.026,0.369311
55.027,0.369336
55.028,0.369361
55.029,0.369386
55.030,0.369411
55.031,0.369436
55.032,0.369460
55.033,0.369485
55.034,0.369510
55.035,0.369535
55.036,0.369560
55.037,0.369585
55.038,0.369610
55.039,0.369635
55.040,0.369660
55.041,0.369684
55.042,0.369709
55.043,0.369734
55.044,0.369759
55.045,0.369784
55.046,0.369809
55.047,0.369834
55.048,0.369859
55.049,0.369884
55.050,0.369908
55.051,0.369933
55.052,0.369958
55.053,0.369983
55.054,0.370008
55.055,0.370033
55.056,0.370058
55.057,0.370083
55.058,0.370108
55.059,0.370132
55.060,0.370157
55.061,0.370182
55.062,0.370207
55.063,0.370232
55.064,0.370257
55.065,0.370282
55.066,0.370307
55.067,0.370332
55.068,0.370356
55.069,0.370381
55.070,0.370406
55.071,0.370431
55.072,0.370456
55.073,0.370481
55.074,0.370506
55.075,0.370531
55.076,0.370556
55.077,0.370581
55.078,0.370605
55.079,0.370630
55.080,0.370655
55.081,0.370680
55.082,0.370705
55.083,0.370730
55.084,0.370755
55.085,0.370780
55.086,0.370805
55.087,0.370830
55.088,0.370854
55.089,0.370879
55.090,0.370904
55.091,0.370929
55.092,0.370954
55.093,0.370979
55.094,0.371004
55.095,0.371029
55.096,0.371054
55.097,0.371079
55.098,0.371104
55.099,0.371128
55.100,0.371153
55.101,0.371178
55.102,0.371203
55.103,0.371228
55.104,0.371253
55.105,0.371278
55.106,0.371303
55.107,0.371328
55.108,0.371353
55.109,0.371378
55.110,0.371402
55.111,0.371427
55.112,0.371452
55.113,0.371477
55.114,0.371502
55.115,0.371527
55.116,0.371552
55.117,0.371577
55.118,0.371602
55.119,0.371627
55.120,0.371652
55.121,0.371676
55.122,0.371701
55.123,0.371726
55.124,0.371751
55.125,0.371776
55.126,0.371801
55.127,0.371826
55.128,0.371851
55.129,0.371876
55.130,0.371901
55.131,0.371926
55.132,0.371951
55.133,0.371975
55.134,0.372000
55.135,0.372025
55.136,0.372050
55.137,0.372075
55.138,0.372100
55.139,0.372125
55.140,0.372150
55.141,0.372175
55.142,0.372200
55.143,0.372225
55.144,0.372250
55.145,0.372275
55.146,0.372299
55.147,0.372324
55.148,0.372349
55.149,0.372374
55.150,0.372399
55.151,0.372424
55.152,0.372449
55.153,0.372474
55.154,0.372499
55.155,0.372524
55.156,0.372549
55.157,0.372574
55.158,0.372599
55.159,0.372623
55.160,0.372648
55.161,0.372673
55.162,0.372698
55.163,0.372723
55.164,0.372748
55.165,0.372773
55.166,0.372798
55.167,0.372823
55.168,0.372848
55.169,0.372873
55.170,0.372898
55.171,0.372923
55.172,0.372948
55.173,0.372972
55.174,0.372997
55.175,0.373022
55.176,0.373047
55.177,0.373072
