Angle,Reflectance
55.000,0.296896
55.001,0.296940
55.002,0.296983
55.003,0.297027
55.004,0.297070
55.005,0.297114
55.006,0.297157
55.007,0.297201
55.008,0.297245
55.009,0.297288
55.010,0.297332
55.011,0.297376
55.012,0.297419
55.013,0.297463
55.014,0.297507
55.015,0.297551
55.016,0.297595
55.017,0.297638
55.018,0.297682
55.019,0.297726
55.020,0.297770
55.021,0.297814
55.022,0.297858
55.023,0.297902
55.024,0.297946
55.025,0.297990
55.026,0.298034
55.027,0.298078
55.028,0.298122
55.029,0.298166
55.030,0.298210
55.031,0.298254
55.032,0.298298
55.033,0.298342
55.034,0.298386
55.035,0.298430
55.036,0.298474
55.037,0.298519
55.038,0.298563
55.039,0.298607
55.040,0.298651
55.041,0.298695
55.042,0.298740
55.043,0.298784
55.044,0.298828
55.045,0.298873
55.046,0.298917
55.047,0.298961
55.048,0.299006
55.049,0.299050
55.050,0.299095
55.051,0.299139
55.052,0.299184
55.053,0.299228
55.054,0.299273
55.055,0.299317
55.056,0.299362
55.057,0.299406
55.058,0.299451
55.059,0.299495
55.060,0.299540
55.061,0.299585
55.062,0.299629
55.063,0.299674
55.064,0.299719
55.065,0.299763
55.066,0.299808
55.067,0.299853
55.068,0.299898
55.069,0.299943
55.070,0.299987
55.071,0.300032
55.072,0.300077
55.073,0.300122
55.074,0.300167
55.075,0.300212
55.076,0.300257
55.077,0.300302
55.078,0.300346
55.079,0.300391
55.080,0.300436
55.081,0.300481
55.082,0.300527
55.083,0.300572
55.084,0.300617
55.085,0.300662
55.086,0.300707
55.087,0.300752
55.088,0.300797
55.089,0.300842
55.090,0.300888
55.091,0.300933
55.092,0.300978
55.093,0.301023
55.094,0.301068
55.095,0.301114
55.096,0.301159
55.097,0.301204
55.098,0.301250
55.099,0.301295
55.100,0.301340
55.101,0.301386
55.102,0.301431
55.103,0.301477
55.104,0.301522
55.105,0.301568
55.106,0.301613
55.107,0.301659
55.108,0.301704
55.109,0.301750
55.110,0.301795
55.111,0.301841
55.112,0.301886
55.113,0.301932
55.114,0.301978
55.115,0.302023
55.116,0.302069
55.117,0.302115
55.118,0.302160
55.119,0.302206
55.120,0.302252
55.121,0.302298
55.122,0.302344
55.123,0.302389
55.124,0.302435
55.125,0.302481
55.126,0.302527
55.127,0.302573
55.128,0.302619
55.129,0.302665
55.130,0.302711
55.131,0.302756
55.132,0.302802
55.133,0.302848
55.134,0.302894
55.135,0.302941
55.136,0.302987
55.137,0.303033
55.138,0.303079
55.139,0.303125
55.140,0.303171
55.141,0.303217
55.142,0.303263
55.143,0.303309
55.144,0.303356
55.145,0.303402
55.146,0.303448
55.147,0.303494
55.148,0.303541
55.149,0.303587
55.150,0.303633
55.151,0.303680
55.152,0.303726
55.153,0.303772
55.154,0.303819
55.155,0.303865
55.156,0.303912
55.157,0.303958
55.158,0.304005
55.159,0.304051
55.160,0.304098
55.161,0.304144
55.162,0.304191
55.163,0.304237
55.164,0.304284
55.165,0.304330
55.166,0.304377
55.167,0.304424
55.168,0.304470
55.169,0.304517
55.170,0.304564
55.171,0.304610
55.172,0.304657
55.173,0.304704
55.174,0.304751
55.175,0.304798
55.176,0.304844
55.177,0.304891
55.178,0.304938
55.179,0.304985
55.180,0.305032
55.181,0.305079
55.182,0.305126
55.183,0.305173
55.184,0.305219
55.185,0.305266
55.186,0.305313
55.187,0.305360
55.188,0.305408
55.189,0.305455
55.190,0.305502
55.191,0.305549
55.192,0.305596
55.193,0.305643
55.194,0.305690
55.195,0.305737
55.196,0.305785
55.197,0.305832
55.198,0.305879
55.199,0.305926
55.200,0.305973
55.201,0.306021
55.202,0.306068
55.203,0.306115
55.204,0.306163
55.205,0.306210
55.206,0.306257
55.207,0.306305
55.208,0.306352
55.209,0.306400
55.210,0.306447
55.211,0.306495
55.212,0.306542
55.213,0.306590
55.214,0.306637
55.215,0.306685
55.216,0.306732
55.217,0.306780
55.218,0.306827
55.219,0.306875
55.220,0.306923
55.221,0.306970
55.222,0.307018
55.223,0.307066
55.224,0.307113
55.225,0.307161
55.226,0.307209
55.227,0.307257
55.228,0.307305
55.229,0.307352
55.230,0.307400
55.231,0.307448
55.232,0.307496
55.233,0.307544
55.234,0.307592
55.235,0.307640
55.236,0.307688
55.237,0.307736
55.238,0.307783
55.239,0.307831
55.240,0.307880
55.241,0.307928
55.242,0.307976
55.243,0.308024
55.244,0.308072
55.245,0.308120
55.246,0.308168
55.247,0.308216
55.248,0.308264
55.249,0.308313
55.250,0.308361
55.251,0.308409
55.252,0.308457
55.253,0.308505
55.254,0.308554
55.255,0.308602
55.256,0.308650
55.257,0.308699
55.258,0.308747
55.259,0.308795
55.260,0.308844
55.261,0.308892
55.262,0.308941
55.263,0.308989
55.264,0.309038
55.265,0.309086
55.266,0.309135
55.267,0.309183
55.268,0.309232
55.269,0.309280
55.270,0.309329
55.271,0.309377
55.272,0.309426
55.273,0.309475
55.274,0.309523
55.275,0.309572
55.276,0.309621
55.277,0.309669
55.278,0.309718
55.279,0.309767
55.280,0.309816
55.281,0.309865
55.282,0.309913
55.283,0.309962
55.284,0.310011
55.285,0.310060
55.286,0.310109
55.287,0.310158
55.288,0.310207
55.289,0.310256
55.290,0.310305
55.291,0.310353
55.292,0.310402
55.293,0.310452
55.294,0.310501
55.295,0.310550
55.296,0.310599
55.297,0.310648
55.298,0.310697
55.299,0.310746
55.300,0.310795
55.301,0.310844
55.302,0.310894
55.303,0.310943
55.304,0.310992
55.305,0.311041
55.306,0.311090
55.307,0.311140
55.308,0.311189
55.309,0.311238
55.310,0.311288
55.311,0.311337
55.312,0.311386
55.313,0.311436
55.314,0.311485
55.315,0.311535
55.316,0.311584
55.317,0.311634
55.318,0.311683
55.319,0.311733
55.320,0.311782
55.321,0.311832
55.322,0.311881
55.323,0.311931
55.324,0.311980
55.325,0.312030
55.326,0.312080
55.327,0.312129
55.328,0.312179
55.329,0.312229
55.330,0.312278
55.331,0.312328
55.332,0.312378
55.333,0.312428
55.334,0.312477
55.335,0.312527
55.336,0.312577
55.337,0.312627
55.338,0.312677
55.339,0.312727
55.340,0.312777
55.341,0.312827
55.342,0.312876
55.343,0.312926
55.344,0.312976
55.345,0.313026
55.346,0.313076
55.347,0.313126
55.348,0.313176
55.349,0.313227
55.350,0.313277
55.351,0.313327
55.352,0.313377
55.353,0.313427
55.354,0.313477
55.355,0.313527
55.356,0.313578
55.357,0.313628
55.358,0.313678
55.359,0.313728
55.360,0.313779
55.361,0.313829
55.362,0.313879
55.363,0.313930
55.364,0.313980
55.365,0.314030
55.366,0.314081
55.367,0.314131
55.368,0.314181
55.369,0.314232
55.370,0.314282
55.371,0.314333
55.372,0.314383
55.373,0.314434
55.374,0.314484
55.375,0.314535
55.376,0.314586
55.377,0.314636
55.378,0.314687
55.379,0.314737
55.380,0.314788
55.381,0.314839
55.382,0.314889
55.383,0.314940
55.384,0.314991
55.385,0.315042
55.386,0.315092
55.387,0.315143
55.388,0.315194
55.389,0.315245
55.390,0.315296
55.391,0.315347
55.392,0.315397
55.393,0.315448
55.394,0.315499
55.395,0.315550
55.396,0.315601
55.397,0.315652
55.398,0.315703
55.399,0.315754
55.400,0.315805
55.401,0.315856
55.402,0.315907
55.403,0.315958
55.404,0.316009
55.405,0.316061
55.406,0.316112
55.407,0.316163
55.408,0.316214
55.409,0.316265
55.410,0.316316
55.411,0.316368
55.412,0.316419
55.413,0.316470
55.414,0.316521
55.415,0.316573
55.416,0.316624
55.417,0.316675
55.418,0.316727
55.419,0.316778
55.420,0.316830
55.421,0.316881
55.422,0.316932
55.423,0.316984
55.424,0.317035
55.425,0.317087
55.426,0.317138
55.427,0.317190
55.428,0.317242
55.429,0.317293
55.430,0.317345
55.431,0.317396
55.432,0.317448
55.433,0.317500
55.434,0.317551
55.435,0.317603
55.436,0.317655
55.437,0.317706
55.438,0.317758
55.439,0.317810
55.440,0.317862
55.441,0.317913
55.442,0.317965
55.443,0.318017
55.444,0.318069
55.445,0.318121
55.446,0.318173
55.447,0.318225
55.448,0.318277
55.449,0.318328
55.450,0.318380
55.451,0.318432
55.452,0.318484
55.453,0.318536
55.454,0.318588
55.455,0.318641
55.456,0.318693
55.457,0.318745
55.458,0.318797
55.459,0.318849
55.460,0.318901
55.461,0.318953
55.462,0.319005
55.463,0.319058
55.464,0.319110
55.465,0.319162
55.466,0.319214
55.467,0.319267
55.468,0.319319
55.469,0.319371
55.470,0.319424
55.471,0.319476
55.472,0.319528
55.473,0.319581
55.474,0.319633
55.475,0.319686
55.476,0.319738
55.477,0.319791
55.478,0.319843
55.479,0.319896
55.480,0.319948
55.481,0.320001
55.482,0.320053
55.483,0.320106
55.484,0.320158
55.485,0.320211
55.486,0.320264
55.487,0.320316
55.488,0.320369
55.489,0.320422
55.490,0.320474
55.491,0.320527
55.492,0.320580
55.493,0.320633
55.494,0.320685
55.495,0.320738
55.496,0.320791
55.497,0.320844
55.498,0.320897
55.499,0.320950
55.500,0.321002
55.501,0.321055
55.502,0.321108
55.503,0.321161
55.504,0.321214
55.505,0.321267
55.506,0.321320
55.507,0.321373
55.508,0.321426
55.509,0.321479
55.510,0.321532
55.511,0.321586
55.512,0.321639
55.513,0.321692
55.514,0.321745
55.515,0.321798
55.516,0.321851
55.517,0.321905
55.518,0.321958
55.519,0.322011
55.520,0.322064
55.521,0.322118
55.522,0.322171
55.523,0.322224
55.524,0.322278
55.525,0.322331
55.526,0.322384
55.527,0.322438
55.528,0.322491
55.529,0.322545
55.530,0.322598
55.531,0.322651
55.532,0.322705
55.533,0.322758
55.534,0.322812
55.535,0.322866
55.536,0.322919
55.537,0.322973
55.538,0.323026
55.539,0.323080
55.540,0.323134
55.541,0.323187
55.542,0.323241
55.543,0.323295
55.544,0.323348
55.545,0.323402
55.546,0.323456
55.547,0.323510
55.548,0.323563
55.549,0.323617
55.550,0.323671
55.551,0.323725
55.552,0.323779
55.553,0.323833
55.554,0.323886
55.555,0.323940
55.556,0.323994
55.557,0.324048
55.558,0.324102
55.559,0.324156
55.560,0.324210
55.561,0.324264
55.562,0.324318
55.563,0.324372
55.564,0.324426
55.565,0.324481
55.566,0.324535
55.567,0.324589
55.568,0.324643
55.569,0.324697
55.570,0.324751
55.571,0.324806
55.572,0.324860
55.573,0.324914
55.574,0.324968
55.575,0.325023
55.576,0.325077
55.577,0.325131
55.578,0.325186
55.579,0.325240
55.580,0.325294
55.581,0.325349
55.582,0.325403
55.583,0.325458
55.584,0.325512
55.585,0.325567
55.586,0.325621
55.587,0.325676
55.588,0.325730
55.589,0.325785
55.590,0.325839
55.591,0.325894
55.592,0.325948
55.593,0.326003
55.594,0.326058
55.595,0.326112
55.596,0.326167
55.597,0.326222
55.598,0.326276
55.599,0.326331
55.600,0.326386
55.601,0.326441
55.602,0.326495
55.603,0.326550
55.604,0.326605
55.605,0.326660
55.606,0.326715
55.607,0.326770
55.608,0.326825
55.609,0.326879
55.610,0.326934
55.611,0.326989
55.612,0.327044
55.613,0.327099
55.614,0.327154
55.615,0.327209
55.616,0.327264
55.617,0.327319
55.618,0.327375
55.619,0.327430
55.620,0.327485
55.621,0.327540
55.622,0.327595
55.623,0.327650
55.624,0.327705
55.625,0.327761
55.626,0.327816
55.627,0.327871
55.628,0.327926
55.629,0.327982
55.630,0.328037
55.631,0.328092
55.632,0.328148
55.633,0.328203
55.634,0.328258
55.635,0.328314
55.636,0.328369
55.637,0.328425
55.638,0.328480
