Angle,Reflectance
55.000,0.013064
55.001,0.013074
55.002,0.013084
55.003,0.013094
55.004,0.013104
55.005,0.013115
55.006,0.013125
55.007,0.013135
55.008,0.013145
55.009,0.013155
55.010,0.013166
55.011,0.013176
55.012,0.013186
55.013,0.013196
55.014,0.013207
55.015,0.013217
55.016,0.013227
55.017,0.013237
55.018,0.013248
55.019,0.013258
55.020,0.013268
55.021,0.013278
55.022,0.013289
55.023,0.013299
55.024,0.013309
55.025,0.013320
55.026,0.013330
55.027,0.013340
55.028,0.013351
55.029,0.013361
55.030,0.013371
55.031,0.013382
55.032,0.013392
55.033,0.013402
55.034,0.013413
55.035,0.013423
55.036,0.013433
55.037,0.013444
55.038,0.013454
55.039,0.013465
55.040,0.013475
55.041,0.013485
55.042,0.013496
55.043,0.013506
55.044,0.013517
55.045,0.013527
55.046,0.013538
55.047,0.013548
55.048,0.013558
55.049,0.013569
55.050,0.013579
55.051,0.013590
55.052,0.013600
55.053,0.013611
55.054,0.013621
55.055,0.013632
55.056,0.013642
55.057,0.013653
55.058,0.013663
55.059,0.013674
55.060,0.013685
55.061,0.013695
55.062,0.013706
55.063,0.013716
55.064,0.013727
55.065,0.013737
55.066,0.013748
55.067,0.013759
55.068,0.013769
55.069,0.013780
55.070,0.013790
55.071,0.013801
55.072,0.013812
55.073,0.013822
55.074,0.013833
55.075,0.013843
55.076,0.013854
55.077,0.013865
55.078,0.013875
55.079,0.013886
55.080,0.013897
55.081,0.013907
55.082,0.013918
55.083,0.013929
55.084,0.013940
55.085,0.013950
55.086,0.013961
55.087,0.013972
55.088,0.013982
55.089,0.013993
55.090,0.014004
55.091,0.014015
55.092,0.014025
55.093,0.014036
55.094,0.014047
55.095,0.014058
55.096,0.014068
55.097,0.014079
55.098,0.014090
55.099,0.014101
55.100,0.014112
55.101,0.014122
55.102,0.014133
55.103,0.014144
55.104,0.014155
55.105,0.014166
55.106,0.014177
55.107,0.014188
55.108,0.014198
55.109,0.014209
55.110,0.014220
55.111,0.014231
55.112,0.014242
55.113,0.014253
55.114,0.014264
55.115,0.014275
55.116,0.014286
55.117,0.014297
55.118,0.014307
55.119,0.014318
55.120,0.014329
55.121,0.014340
55.122,0.014351
55.123,0.014362
55.124,0.014373
55.125,0.014384
55.126,0.014395
55.127,0.014406
55.128,0.014417
55.129,0.014428
55.130,0.014439
55.131,0.014450
55.132,0.014461
55.133,0.014472
55.134,0.014483
55.135,0.014494
55.136,0.014505
55.137,0.014516
55.138,0.014528
55.139,0.014539
55.140,0.014550
55.141,0.014561
55.142,0.014572
55.143,0.014583
55.144,0.014594
55.145,0.014605
55.146,0.014616
55.147,0.014628
55.148,0.014639
55.149,0.014650
55.150,0.014661
55.151,0.014672
55.152,0.014683
55.153,0.014694
55.154,0.014706
55.155,0.014717
55.156,0.014728
55.157,0.014739
55.158,0.014750
55.159,0.014762
55.160,0.014773
55.161,0.014784
55.162,0.014795
55.163,0.014807
55.164,0.014818
55.165,0.014829
55.166,0.014840
55.167,0.014852
55.168,0.014863
55.169,0.014874
55.170,0.014886
55.171,0.014897
55.172,0.014908
55.173,0.014919
55.174,0.014931
55.175,0.014942
55.176,0.014953
55.177,0.014965
55.178,0.014976
