Angle,Reflectance
65.000,0.896529
65.001,0.896572
65.002,0.896616
65.003,0.896659
65.004,0.896703
65.005,0.896747
65.006,0.896790
65.007,0.896834
65.008,0.896877
65.009,0.896921
65.010,0.896964
65.011,0.897008
65.012,0.897052
65.013,0.897095
65.014,0.897139
65.015,0.897182
65.016,0.897226
65.017,0.897270
65.018,0.897313
65.019,0.897357
65.020,0.897400
65.021,0.897444
65.022,0.897488
65.023,0.897531
65.024,0.897575
65.025,0.897619
65.026,0.897662
65.027,0.897706
65.028,0.897749
65.029,0.897793
65.030,0.897837
65.031,0.897880
65.032,0.897924
65.033,0.897968
65.034,0.898011
65.035,0.898055
65.036,0.898099
65.037,0.898143
65.038,0.898186
65.039,0.898230
65.040,0.898274
65.041,0.898317
65.042,0.898361
65.043,0.898405
65.044,0.898449
65.045,0.898492
65.046,0.898536
65.047,0.898580
65.048,0.898623
65.049,0.898667
65.050,0.898711
65.051,0.898755
65.052,0.898798
65.053,0.898842
65.054,0.898886
65.055,0.898930
65.056,0.898974
65.057,0.899017
65.058,0.899061
65.059,0.899105
65.060,0.899149
65.061,0.899193
65.062,0.899236
65.063,0.899280
65.064,0.899324
65.065,0.899368
65.066,0.899412
65.067,0.899455
65.068,0.899499
65.069,0.899543
65.070,0.899587
65.071,0.899631
65.072,0.899675
65.073,0.899719
65.074,0.899762
65.075,0.899806
65.076,0.899850
65.077,0.899894
65.078,0.899938
65.079,0.899982
65.080,0.900026
65.081,0.900070
65.082,0.900114
65.083,0.900157
65.084,0.900201
65.085,0.900245
65.086,0.900289
65.087,0.900333
65.088,0.900377
65.089,0.900421
65.090,0.900465
65.091,0.900509
65.092,0.900553
65.093,0.900597
65.094,0.900641
65.095,0.900685
65.096,0.900729
65.097,0.900773
65.098,0.900817
65.099,0.900861
65.100,0.900905
65.101,0.900949
65.102,0.900993
65.103,0.901037
65.104,0.901081
65.105,0.901125
65.106,0.901169
65.107,0.901213
65.108,0.901257
65.109,0.901301
65.110,0.901345
65.111,0.901389
65.112,0.901433
65.113,0.901477
65.114,0.901521
65.115,0.901565
65.116,0.901609
65.117,0.901654
65.118,0.901698
65.119,0.901742
65.120,0.901786
65.121,0.901830
65.122,0.901874
65.123,0.901918
65.124,0.901962
65.125,0.902007
65.126,0.902051
65.127,0.902095
65.128,0.902139
65.129,0.902183
65.130,0.902227
65.131,0.902271
65.132,0.902316
65.133,0.902360
65.134,0.902404
65.135,0.902448
65.136,0.902492
65.137,0.902537
65.138,0.902581
65.139,0.902625
65.140,0.902669
65.141,0.902714
65.142,0.902758
65.143,0.902802
65.144,0.902846
65.145,0.902891
65.146,0.902935
65.147,0.902979
65.148,0.903023
65.149,0.903068
65.150,0.903112
65.151,0.903156
65.152,0.903200
65.153,0.903245
65.154,0.903289
65.155,0.903333
65.156,0.903378
65.157,0.903422
65.158,0.903466
65.159,0.903511
65.160,0.903555
65.161,0.903599
65.162,0.903644
65.163,0.903688
65.164,0.903733
65.165,0.903777
65.166,0.903821
65.167,0.903866
65.168,0.903910
65.169,0.903954
65.170,0.903999
65.171,0.904043
65.172,0.904088
65.173,0.904132
65.174,0.904177
65.175,0.904221
65.176,0.904265
65.177,0.904310
65.178,0.904354
65.179,0.904399
65.180,0.904443
65.181,0.904488
65.182,0.904532
65.183,0.904577
65.184,0.904621
65.185,0.904666
65.186,0.904710
65.187,0.904755
65.188,0.904799
65.189,0.904844
65.190,0.904888
65.191,0.904933
65.192,0.904978
