Angle,Reflectance
65.000,0.635797
65.001,0.635867
65.002,0.635937
65.003,0.636008
65.004,0.636078
65.005,0.636148
65.006,0.636218
65.007,0.636289
65.008,0.636359
65.009,0.636429
65.010,0.636499
65.011,0.636570
65.012,0.636640
65.013,0.636710
65.014,0.636780
65.015,0.636851
65.016,0.636921
65.017,0.636991
65.018,0.637061
65.019,0.637131
65.020,0.637201
65.021,0.637272
65.022,0.637342
65.023,0.637412
65.024,0.637482
65.025,0.637552
65.026,0.637622
65.027,0.637692
65.028,0.637763
65.029,0.637833
65.030,0.637903
65.031,0.637973
65.032,0.638043
65.033,0.638113
65.034,0.638183
65.035,0.638253
65.036,0.638323
65.037,0.638393
65.038,0.638463
65.039,0.638534
65.040,0.638604
65.041,0.638674
65.042,0.638744
65.043,0.638814
65.044,0.638884
65.045,0.638954
65.046,0.639024
65.047,0.639094
65.048,0.639164
65.049,0.639234
65.050,0.639304
65.051,0.639374
65.052,0.639444
65.053,0.639514
65.054,0.639584
65.055,0.639654
65.056,0.639724
65.057,0.639794
65.058,0.639864
65.059,0.639933
65.060,0.640003
65.061,0.640073
65.062,0.640143
65.063,0.640213
65.064,0.640283
65.065,0.640353
65.066,0.640423
65.067,0.640493
65.068,0.640563
65.069,0.640633
65.070,0.640702
65.071,0.640772
65.072,0.640842
65.073,0.640912
65.074,0.640982
65.075,0.641052
65.076,0.641122
65.077,0.641191
65.078,0.641261
65.079,0.641331
65.080,0.641401
65.081,0.641471
65.082,0.641541
65.083,0.641610
65.084,0.641680
65.085,0.641750
65.086,0.641820
65.087,0.641889
65.088,0.641959
65.089,0.642029
65.090,0.642099
65.091,0.642169
65.092,0.642238
65.093,0.642308
65.094,0.642378
65.095,0.642447
65.096,0.642517
65.097,0.642587
65.098,0.642657
65.099,0.642726
65.100,0.642796
65.101,0.642866
65.102,0.642935
65.103,0.643005
65.104,0.643075
65.105,0.643144
65.106,0.643214
65.107,0.643284
65.108,0.643353
65.109,0.643423
65.110,0.643493
65.111,0.643562
65.112,0.643632
65.113,0.643702
65.114,0.643771
65.115,0.643841
65.116,0.643910
65.117,0.643980
65.118,0.644050
65.119,0.644119
65.120,0.644189
65.121,0.644258
65.122,0.644328
65.123,0.644398
65.124,0.644467
65.125,0.644537
65.126,0.644606
65.127,0.644676
65.128,0.644745
65.129,0.644815
65.130,0.644884
