Angle,Reflectance
63.000,0.997353
63.001,0.997350
63.002,0.997348
63.003,0.997345
63.004,0.997342
63.005,0.997339
63.006,0.997336
63.007,0.997333
63.008,0.997330
63.009,0.997327
63.010,0.997324
63.011,0.997322
63.012,0.997319
63.013,0.997316
63.014,0.997313
63.015,0.997310
63.016,0.997307
63.017,0.997304
63.018,0.997301
63.019,0.997298
63.020,0.997295
63.021,0.997292
63.022,0.997289
63.023,0.997286
63.024,0.997283
63.025,0.997280
63.026,0.997277
63.027,0.997274
63.028,0.997271
63.029,0.997268
63.030,0.997265
63.031,0.997262
63.032,0.997259
63.033,0.997256
63.034,0.997253
63.035,0.997250
63.036,0.997246
63.037,0.997243
63.038,0.997240
63.039,0.997237
63.040,0.997234
63.041,0.997231
63.042,0.997228
63.043,0.997225
63.044,0.997222
63.045,0.997218
63.046,0.997215
63.047,0.997212
63.048,0.997209
63.049,0.997206
63.050,0.997203
63.051,0.997199
63.052,0.997196
63.053,0.997193
63.054,0.997190
63.055,0.997186
63.056,0.997183
63.057,0.997180
63.058,0.997177
63.059,0.997174
63.060,0.997170
63.061,0.997167
63.062,0.997164
63.063,0.997160
63.064,0.997157
63.065,0.997154
63.066,0.997151
63.067,0.997147
63.068,0.997144
63.069,0.997141
63.070,0.997137
63.071,0.997134
63.072,0.997130
63.073,0.997127
63.074,0.997124
63.075,0.997120
63.076,0.997117
63.077,0.997114
63.078,0.997110
63.079,0.997107
63.080,0.997103
63.081,0.997100
63.082,0.997097
63.083,0.997093
63.084,0.997090
63.085,0.997086
63.086,0.997083
63.087,0.997079
63.088,0.997076
63.089,0.997072
63.090,0.997069
63.091,0.997065
63.092,0.997062
63.093,0.997058
63.094,0.997055
63.095,0.997051
63.096,0.997048
63.097,0.997044
63.098,0.997040
63.099,0.997037
63.100,0.997033
63.101,0.997030
63.102,0.997026
63.103,0.997022
63.104,0.997019
63.105,0.997015
63.106,0.997012
63.107,0.997008
63.108,0.997004
63.109,0.997001
63.110,0.996997
63.111,0.996993
63.112,0.996989
63.113,0.996986
63.114,0.996982
63.115,0.996978
63.116,0.996975
63.117,0.996971
63.118,0.996967
63.119,0.996963
63.120,0.996960
63.121,0.996956
63.122,0.996952
63.123,0.996948
63.124,0.996944
63.125,0.996941
63.126,0.996937
63.127,0.996933
63.128,0.996929
63.129,0.996925
63.130,0.996921
63.131,0.996917
63.132,0.996914
63.133,0.996910
63.134,0.996906
63.135,0.996902
63.136,0.996898
63.137,0.996894
63.138,0.996890
63.139,0.996886
63.140,0.996882
63.141,0.996878
63.142,0.996874
63.143,0.996870
63.144,0.996866
63.145,0.996862
63.146,0.996858
63.147,0.996854
63.148,0.996850
63.149,0.996846
63.150,0.996842
63.151,0.996838
63.152,0.996834
63.153,0.996830
63.154,0.996826
63.155,0.996822
63.156,0.996817
63.157,0.996813
63.158,0.996809
63.159,0.996805
63.160,0.996801
63.161,0.996797
63.162,0.996792
63.163,0.996788
63.164,0.996784
63.165,0.996780
63.166,0.996776
63.167,0.996771
63.168,0.996767
63.169,0.996763
63.170,0.996758
63.171,0.996754
63.172,0.996750
63.173,0.996746
63.174,0.996741
63.175,0.996737
63.176,0.996733
63.177,0.996728
63.178,0.996724
63.179,0.996719
63.180,0.996715
63.181,0.996711
63.182,0.996706
63.183,0.996702
63.184,0.996697
63.185,0.996693
63.186,0.996688
63.187,0.996684
63.188,0.996679
63.189,0.996675
63.190,0.996670
63.191,0.996666
63.192,0.996661
63.193,0.996657
63.194,0.996652
63.195,0.996648
63.196,0.996643
63.197,0.996638
63.198,0.996634
63.199,0.996629
63.200,0.996625
63.201,0.996620
63.202,0.996615
63.203,0.996611
63.204,0.996606
63.205,0.996601
63.206,0.996597
63.207,0.996592
63.208,0.996587
63.209,0.996582
63.210,0.996578
63.211,0.996573
63.212,0.996568
63.213,0.996563
63.214,0.996558
63.215,0.996554
63.216,0.996549
63.217,0.996544
63.218,0.996539
63.219,0.996534
63.220,0.996529
63.221,0.996524
63.222,0.996519
63.223,0.996514
63.224,0.996509
63.225,0.996505
63.226,0.996500
63.227,0.996495
63.228,0.996490
63.229,0.996485
63.230,0.996480
63.231,0.996474
63.232,0.996469
63.233,0.996464
63.234,0.996459
63.235,0.996454
63.236,0.996449
63.237,0.996444
63.238,0.996439
63.239,0.996434
63.240,0.996428
63.241,0.996423
63.242,0.996418
63.243,0.996413
63.244,0.996408
63.245,0.996402
63.246,0.996397
63.247,0.996392
63.248,0.996386
63.249,0.996381
63.250,0.996376
63.251,0.996370
63.252,0.996365
63.253,0.996360
63.254,0.996354
63.255,0.996349
63.256,0.996344
63.257,0.996338
63.258,0.996333
63.259,0.996327
63.260,0.996322
