Angle,Reflectance
63.000,0.999954
63.001,0.999954
63.002,0.999954
63.003,0.999954
63.004,0.999954
63.005,0.999954
63.006,0.999954
63.007,0.999954
63.008,0.999954
63.009,0.999954
63.010,0.999954
63.011,0.999954
63.012,0.999955
63.013,0.999955
63.014,0.999955
63.015,0.999955
63.016,0.999955
63.017,0.999955
63.018,0.999955
63.019,0.999955
63.020,0.999955
63.021,0.999955
63.022,0.999955
63.023,0.999956
63.024,0.999956
63.025,0.999956
63.026,0.999956
63.027,0.999956
63.028,0.999956
63.029,0.999956
63.030,0.999956
63.031,0.999956
63.032,0.999956
63.033,0.999956
63.034,0.999956
63.035,0.999956
63.036,0.999957
63.037,0.999957
63.038,0.999957
63.039,0.999957
63.040,0.999957
63.041,0.999957
63.042,0.999957
63.043,0.999957
63.044,0.999957
63.045,0.999957
63.046,0.999957
63.047,0.999957
63.048,0.999958
63.049,0.999958
63.050,0.999958
63.051,0.999958
63.052,0.999958
63.053,0.999958
63.054,0.999958
63.055,0.999958
63.056,0.999958
63.057,0.999958
63.058,0.999958
63.059,0.999958
63.060,0.999958
63.061,0.999959
63.062,0.999959
63.063,0.999959
63.064,0.999959
63.065,0.999959
63.066,0.999959
63.067,0.999959
63.068,0.999959
63.069,0.999959
63.070,0.999959
63.071,0.999959
63.072,0.999959
63.073,0.999959
63.074,0.999959
63.075,0.999960
63.076,0.999960
63.077,0.999960
63.078,0.999960
63.079,0.999960
63.080,0.999960
63.081,0.999960
63.082,0.999960
63.083,0.999960
63.084,0.999960
63.085,0.999960
63.086,0.999960
63.087,0.999960
63.088,0.999960
63.089,0.999961
63.090,0.999961
63.091,0.999961
63.092,0.999961
63.093,0.999961
63.094,0.999961
63.095,0.999961
63.096,0.999961
63.097,0.999961
63.098,0.999961
63.099,0.999961
63.100,0.999961
63.101,0.999961
63.102,0.999961
63.103,0.999962
63.104,0.999962
63.105,0.999962
63.106,0.999962
63.107,0.999962
63.108,0.999962
63.109,0.999962
63.110,0.999962
63.111,0.999962
63.112,0.999962
63.113,0.999962
63.114,0.999962
63.115,0.999962
63.116,0.999962
63.117,0.999962
63.118,0.999963
63.119,0.999963
63.120,0.999963
63.121,0.999963
63.122,0.999963
63.123,0.999963
63.124,0.999963
63.125,0.999963
63.126,0.999963
63.127,0.999963
63.128,0.999963
63.129,0.999963
63.130,0.999963
63.131,0.999963
63.132,0.999963
63.133,0.999963
63.134,0.999964
63.135,0.999964
63.136,0.999964
63.137,0.999964
63.138,0.999964
63.139,0.999964
63.140,0.999964
63.141,0.999964
63.142,0.999964
63.143,0.999964
63.144,0.999964
63.145,0.999964
63.146,0.999964
63.147,0.999964
63.148,0.999964
63.149,0.999964
63.150,0.999965
63.151,0.999965
63.152,0.999965
63.153,0.999965
63.154,0.999965
63.155,0.999965
63.156,0.999965
63.157,0.999965
63.158,0.999965
63.159,0.999965
63.160,0.999965
63.161,0.999965
63.162,0.999965
63.163,0.999965
63.164,0.999965
63.165,0.999965
63.166,0.999965
63.167,0.999966
63.168,0.999966
63.169,0.999966
63.170,0.999966
63.171,0.999966
63.172,0.999966
63.173,0.999966
63.174,0.999966
63.175,0.999966
63.176,0.999966
63.177,0.999966
63.178,0.999966
63.179,0.999966
63.180,0.999966
63.181,0.999966
63.182,0.999966
63.183,0.999966
63.184,0.999966
63.185,0.999967
63.186,0.999967
63.187,0.999967
63.188,0.999967
63.189,0.999967
63.190,0.999967
63.191,0.999967
63.192,0.999967
63.193,0.999967
63.194,0.999967
63.195,0.999967
63.196,0.999967
63.197,0.999967
63.198,0.999967
63.199,0.999967
63.200,0.999967
63.201,0.999967
63.202,0.999967
63.203,0.999968
63.204,0.999968
63.205,0.999968
63.206,0.999968
63.207,0.999968
63.208,0.999968
63.209,0.999968
63.210,0.999968
63.211,0.999968
63.212,0.999968
63.213,0.999968
63.214,0.999968
63.215,0.999968
63.216,0.999968
63.217,0.999968
63.218,0.999968
63.219,0.999968
63.220,0.999968
63.221,0.999968
63.222,0.999969
63.223,0.999969
63.224,0.999969
63.225,0.999969
63.226,0.999969
63.227,0.999969
63.228,0.999969
63.229,0.999969
63.230,0.999969
63.231,0.999969
63.232,0.999969
63.233,0.999969
63.234,0.999969
63.235,0.999969
63.236,0.999969
63.237,0.999969
63.238,0.999969
63.239,0.999969
63.240,0.999969
63.241,0.999969
63.242,0.999970
63.243,0.999970
63.244,0.999970
63.245,0.999970
63.246,0.999970
63.247,0.999970
63.248,0.999970
63.249,0.999970
63.250,0.999970
63.251,0.999970
63.252,0.999970
63.253,0.999970
63.254,0.999970
63.255,0.999970
63.256,0.999970
63.257,0.999970
63.258,0.999970
63.259,0.999970
63.260,0.999970
63.261,0.999970
63.262,0.999970
63.263,0.999971
63.264,0.999971
63.265,0.999971
63.266,0.999971
63.267,0.999971
63.268,0.999971
63.269,0.999971
63.270,0.999971
63.271,0.999971
63.272,0.999971
63.273,0.999971
63.274,0.999971
63.275,0.999971
63.276,0.999971
63.277,0.999971
63.278,0.999971
63.279,0.999971
63.280,0.999971
63.281,0.999971
63.282,0.999971
63.283,0.999971
63.284,0.999971
63.285,0.999972
63.286,0.999972
63.287,0.999972
63.288,0.999972
63.289,0.999972
63.290,0.999972
63.291,0.999972
63.292,0.999972
63.293,0.999972
63.294,0.999972
63.295,0.999972
63.296,0.999972
63.297,0.999972
63.298,0.999972
63.299,0.999972
63.300,0.999972
63.301,0.999972
63.302,0.999972
63.303,0.999972
63.304,0.999972
63.305,0.999972
63.306,0.999972
63.307,0.999972
63.308,0.999973
63.309,0.999973
63.310,0.999973
63.311,0.999973
63.312,0.999973
63.313,0.999973
63.314,0.999973
63.315,0.999973
63.316,0.999973
63.317,0.999973
63.318,0.999973
63.319,0.999973
63.320,0.999973
63.321,0.999973
63.322,0.999973
63.323,0.999973
63.324,0.999973
63.325,0.999973
63.326,0.999973
63.327,0.999973
63.328,0.999973
63.329,0.999973
63.330,0.999973
63.331,0.999973
63.332,0.999974
63.333,0.999974
63.334,0.999974
63.335,0.999974
63.336,0.999974
63.337,0.999974
63.338,0.999974
63.339,0.999974
63.340,0.999974
63.341,0.999974
63.342,0.999974
63.343,0.999974
63.344,0.999974
63.345,0.999974
63.346,0.999974
63.347,0.999974
63.348,0.999974
63.349,0.999974
63.350,0.999974
63.351,0.999974
63.352,0.999974
63.353,0.999974
63.354,0.999974
63.355,0.999974
63.356,0.999974
63.357,0.999975
63.358,0.999975
63.359,0.999975
63.360,0.999975
63.361,0.999975
63.362,0.999975
63.363,0.999975
63.364,0.999975
63.365,0.999975
63.366,0.999975
63.367,0.999975
63.368,0.999975
63.369,0.999975
63.370,0.999975
63.371,0.999975
63.372,0.999975
63.373,0.999975
63.374,0.999975
63.375,0.999975
63.376,0.999975
63.377,0.999975
63.378,0.999975
63.379,0.999975
63.380,0.999975
63.381,0.999975
63.382,0.999975
63.383,0.999975
63.384,0.999976
63.385,0.999976
63.386,0.999976
63.387,0.999976
63.388,0.999976
63.389,0.999976
63.390,0.999976
63.391,0.999976
63.392,0.999976
63.393,0.999976
63.394,0.999976
63.395,0.999976
63.396,0.999976
63.397,0.999976
63.398,0.999976
63.399,0.999976
63.400,0.999976
63.401,0.999976
63.402,0.999976
63.403,0.999976
63.404,0.999976
63.405,0.999976
63.406,0.999976
63.407,0.999976
63.408,0.999976
63.409,0.999976
63.410,0.999976
63.411,0.999976
63.412,0.999976
63.413,0.999977
63.414,0.999977
63.415,0.999977
63.416,0.999977
63.417,0.999977
63.418,0.999977
63.419,0.999977
63.420,0.999977
63.421,0.999977
63.422,0.999977
63.423,0.999977
63.424,0.999977
63.425,0.999977
63.426,0.999977
63.427,0.999977
63.428,0.999977
63.429,0.999977
63.430,0.999977
63.431,0.999977
63.432,0.999977
63.433,0.999977
63.434,0.999977
63.435,0.999977
63.436,0.999977
63.437,0.999977
63.438,0.999977
63.439,0.999977
63.440,0.999977
63.441,0.999977
63.442,0.999977
63.443,0.999978
63.444,0.999978
63.445,0.999978
63.446,0.999978
63.447,0.999978
63.448,0.999978
63.449,0.999978
63.450,0.999978
63.451,0.999978
63.452,0.999978
63.453,0.999978
63.454,0.999978
63.455,0.999978
63.456,0.999978
63.457,0.999978
63.458,0.999978
63.459,0.999978
63.460,0.999978
63.461,0.999978
63.462,0.999978
63.463,0.999978
63.464,0.999978
63.465,0.999978
63.466,0.999978
63.467,0.999978
63.468,0.999978
63.469,0.999978
63.470,0.999978
63.471,0.999978
63.472,0.999978
63.473,0.999978
63.474,0.999978
63.475,0.999979
63.476,0.999979
63.477,0.999979
63.478,0.999979
63.479,0.999979
63.480,0.999979
63.481,0.999979
63.482,0.999979
63.483,0.999979
63.484,0.999979
63.485,0.999979
63.486,0.999979
63.487,0.999979
63.488,0.999979
63.489,0.999979
63.490,0.999979
63.491,0.999979
63.492,0.999979
63.493,0.999979
63.494,0.999979
63.495,0.999979
63.496,0.999979
63.497,0.999979
63.498,0.999979
63.499,0.999979
63.500,0.999979
63.501,0.999979
63.502,0.999979
63.503,0.999979
63.504,0.999979
63.505,0.999979
63.506,0.999979
63.507,0.999979
63.508,0.999979
63.509,0.999980
63.510,0.999980
63.511,0.999980
63.512,0.999980
63.513,0.999980
63.514,0.999980
63.515,0.999980
63.516,0.999980
63.517,0.999980
63.518,0.999980
63.519,0.999980
63.520,0.999980
63.521,0.999980
63.522,0.999980
63.523,0.999980
63.524,0.999980
63.525,0.999980
63.526,0.999980
63.527,0.999980
63.528,0.999980
63.529,0.999980
63.530,0.999980
63.531,0.999980
63.532,0.999980
63.533,0.999980
63.534,0.999980
63.535,0.999980
63.536,0.999980
63.537,0.999980
63.538,0.999980
63.539,0.999980
63.540,0.999980
63.541,0.999980
63.542,0.999980
63.543,0.999980
63.544,0.999980
63.545,0.999981
63.546,0.999981
63.547,0.999981
63.548,0.999981
63.549,0.999981
63.550,0.999981
63.551,0.999981
63.552,0.999981
63.553,0.999981
63.554,0.999981
63.555,0.999981
63.556,0.999981
63.557,0.999981
63.558,0.999981
63.559,0.999981
63.560,0.999981
63.561,0.999981
63.562,0.999981
63.563,0.999981
63.564,0.999981
63.565,0.999981
63.566,0.999981
63.567,0.999981
63.568,0.999981
63.569,0.999981
63.570,0.999981
63.571,0.999981
63.572,0.999981
63.573,0.999981
63.574,0.999981
63.575,0.999981
63.576,0.999981
63.577,0.999981
63.578,0.999981
63.579,0.999981
63.580,0.999981
63.581,0.999981
63.582,0.999981
63.583,0.999981
63.584,0.999982
63.585,0.999982
63.586,0.999982
63.587,0.999982
63.588,0.999982
63.589,0.999982
63.590,0.999982
63.591,0.999982
63.592,0.999982
63.593,0.999982
63.594,0.999982
63.595,0.999982
63.596,0.999982
63.597,0.999982
63.598,0.999982
63.599,0.999982
63.600,0.999982
63.601,0.999982
63.602,0.999982
63.603,0.999982
63.604,0.999982
63.605,0.999982
63.606,0.999982
63.607,0.999982
63.608,0.999982
63.609,0.999982
63.610,0.999982
63.611,0.999982
63.612,0.999982
63.613,0.999982
63.614,0.999982
63.615,0.999982
63.616,0.999982
63.617,0.999982
63.618,0.999982
63.619,0.999982
63.620,0.999982
63.621,0.999982
63.622,0.999982
63.623,0.999982
63.624,0.999982
63.625,0.999983
63.626,0.999983
63.627,0.999983
63.628,0.999983
63.629,0.999983
63.630,0.999983
63.631,0.999983
63.632,0.999983
63.633,0.999983
63.634,0.999983
63.635,0.999983
63.636,0.999983
63.637,0.999983
63.638,0.999983
63.639,0.999983
63.640,0.999983
63.641,0.999983
63.642,0.999983
63.643,0.999983
63.644,0.999983
63.645,0.999983
63.646,0.999983
63.647,0.999983
63.648,0.999983
63.649,0.999983
63.650,0.999983
63.651,0.999983
63.652,0.999983
63.653,0.999983
63.654,0.999983
63.655,0.999983
63.656,0.999983
63.657,0.999983
63.658,0.999983
63.659,0.999983
63.660,0.999983
63.661,0.999983
63.662,0.999983
63.663,0.999983
63.664,0.999983
63.665,0.999983
63.666,0.999983
63.667,0.999983
63.668,0.999983
63.669,0.999983
63.670,0.999984
63.671,0.999984
63.672,0.999984
63.673,0.999984
63.674,0.999984
63.675,0.999984
63.676,0.999984
63.677,0.999984
63.678,0.999984
63.679,0.999984
63.680,0.999984
63.681,0.999984
63.682,0.999984
63.683,0.999984
63.684,0.999984
63.685,0.999984
63.686,0.999984
63.687,0.999984
63.688,0.999984
63.689,0.999984
63.690,0.999984
63.691,0.999984
63.692,0.999984
63.693,0.999984
63.694,0.999984
63.695,0.999984
63.696,0.999984
63.697,0.999984
63.698,0.999984
63.699,0.999984
63.700,0.999984
63.701,0.999984
63.702,0.999984
63.703,0.999984
63.704,0.999984
63.705,0.999984
63.706,0.999984
63.707,0.999984
63.708,0.999984
63.709,0.999984
63.710,0.999984
63.711,0.999984
63.712,0.999984
63.713,0.999984
63.714,0.999984
63.715,0.999984
63.716,0.999984
63.717,0.999984
63.718,0.999984
63.719,0.999985
63.720,0.999985
63.721,0.999985
63.722,0.999985
63.723,0.999985
63.724,0.999985
63.725,0.999985
63.726,0.999985
63.727,0.999985
63.728,0.999985
63.729,0.999985
63.730,0.999985
63.731,0.999985
63.732,0.999985
63.733,0.999985
63.734,0.999985
63.735,0.999985
63.736,0.999985
63.737,0.999985
63.738,0.999985
63.739,0.999985
63.740,0.999985
63.741,0.999985
63.742,0.999985
63.743,0.999985
63.744,0.999985
63.745,0.999985
63.746,0.999985
63.747,0.999985
63.748,0.999985
63.749,0.999985
63.750,0.999985
63.751,0.999985
63.752,0.999985
63.753,0.999985
63.754,0.999985
63.755,0.999985
63.756,0.999985
63.757,0.999985
63.758,0.999985
63.759,0.999985
63.760,0.999985
63.761,0.999985
63.762,0.999985
63.763,0.999985
63.764,0.999985
63.765,0.999985
63.766,0.999985
63.767,0.999985
63.768,0.999985
63.769,0.999985
63.770,0.999985
63.771,0.999985
63.772,0.999986
63.773,0.999986
63.774,0.999986
63.775,0.999986
63.776,0.999986
63.777,0.999986
63.778,0.999986
63.779,0.999986
63.780,0.999986
63.781,0.999986
63.782,0.999986
63.783,0.999986
63.784,0.999986
63.785,0.999986
63.786,0.999986
63.787,0.999986
63.788,0.999986
63.789,0.999986
63.790,0.999986
63.791,0.999986
63.792,0.999986
63.793,0.999986
63.794,0.999986
63.795,0.999986
63.796,0.999986
63.797,0.999986
63.798,0.999986
63.799,0.999986
63.800,0.999986
63.801,0.999986
63.802,0.999986
63.803,0.999986
63.804,0.999986
63.805,0.999986
63.806,0.999986
63.807,0.999986
63.808,0.999986
63.809,0.999986
63.810,0.999986
63.811,0.999986
63.812,0.999986
63.813,0.999986
63.814,0.999986
63.815,0.999986
63.816,0.999986
63.817,0.999986
63.818,0.999986
63.819,0.999986
63.820,0.999986
63.821,0.999986
63.822,0.999986
63.823,0.999986
63.824,0.999986
63.825,0.999986
63.826,0.999986
63.827,0.999986
63.828,0.999986
63.829,0.999986
63.830,0.999987
63.831,0.999987
63.832,0.999987
63.833,0.999987
63.834,0.999987
63.835,0.999987
63.836,0.999987
63.837,0.999987
63.838,0.999987
63.839,0.999987
63.840,0.999987
63.841,0.999987
63.842,0.999987
63.843,0.999987
63.844,0.999987
63.845,0.999987
63.846,0.999987
63.847,0.999987
63.848,0.999987
63.849,0.999987
63.850,0.999987
63.851,0.999987
63.852,0.999987
63.853,0.999987
63.854,0.999987
63.855,0.999987
63.856,0.999987
63.857,0.999987
63.858,0.999987
63.859,0.999987
63.860,0.999987
63.861,0.999987
63.862,0.999987
63.863,0.999987
63.864,0.999987
63.865,0.999987
63.866,0.999987
63.867,0.999987
63.868,0.999987
63.869,0.999987
63.870,0.999987
63.871,0.999987
63.872,0.999987
63.873,0.999987
63.874,0.999987
63.875,0.999987
63.876,0.999987
63.877,0.999987
63.878,0.999987
63.879,0.999987
63.880,0.999987
63.881,0.999987
63.882,0.999987
63.883,0.999987
63.884,0.999987
63.885,0.999987
63.886,0.999987
63.887,0.999987
63.888,0.999987
63.889,0.999987
63.890,0.999987
63.891,0.999987
63.892,0.999987
63.893,0.999987
63.894,0.999988
63.895,0.999988
63.896,0.999988
63.897,0.999988
63.898,0.999988
63.899,0.999988
63.900,0.999988
63.901,0.999988
